object_id,Time (MJD),Flux,Flux_err,Filter
Dornhoth_gwend_nagol,61701.1923,0.10317263,0.35596195,z
Dornhoth_gwend_nagol,63225.326,0.12473002,0.76826182,y
Dornhoth_gwend_nagol,63230.2987,-0.70385485,0.44942327,i
Dornhoth_gwend_nagol,63493.852,0.5949782,0.48410171,i
Dornhoth_gwend_nagol,63493.852,0.4707153,0.58557532,z
Dornhoth_gwend_nagol,63506.2837,0.23685375,0.35171309,u
Dornhoth_gwend_nagol,63506.2837,0.17078433,0.15206033,r
Dornhoth_gwend_nagol,63518.7155,-1.30639701,1.05153736,y
Dornhoth_gwend_nagol,63521.2018,-0.09892139,1.1287971,y
Dornhoth_gwend_nagol,63526.1745,-0.22438941,0.33362382,z
Dornhoth_gwend_nagol,63528.6609,-0.34751466,0.26674419,r
Dornhoth_gwend_nagol,63553.5244,0.53767898,0.71739338,z
Dornhoth_gwend_nagol,63553.5244,-1.96380478,1.65952016,y
Dornhoth_gwend_nagol,63556.0108,0.5089085,0.36549583,r
Dornhoth_gwend_nagol,63588.3333,0.24081067,0.19267471,r
Dornhoth_gwend_nagol,63588.3333,0.11005203,0.28580232,i
Dornhoth_gwend_nagol,63600.7651,-0.13822462,0.2988794,u
Dornhoth_gwend_nagol,63600.7651,-0.15655144,0.1527215,r
Dornhoth_gwend_nagol,63608.2242,0.20981865,0.36061624,z
Dornhoth_gwend_nagol,63608.2242,-1.51643712,0.96644329,y
Dornhoth_gwend_nagol,63207.9215,-0.3451231,0.12304973,g
Dornhoth_gwend_nagol,63188.0307,0.10193654,0.46668763,z
Dornhoth_gwend_nagol,63188.0307,-0.34084745,0.21898965,i
Dornhoth_gwend_nagol,63180.5716,-0.2155963,0.20577208,r
Dornhoth_gwend_nagol,62892.1548,0.60574162,0.18366004,i
Dornhoth_gwend_nagol,62892.1548,2.40967875,0.50482132,z
Dornhoth_gwend_nagol,62894.6412,-0.17216323,0.4925255,i
Dornhoth_gwend_nagol,62894.6412,0.81577179,1.1584644,z
Dornhoth_gwend_nagol,62894.6412,3.25432819,1.2662671,y
Dornhoth_gwend_nagol,62897.1275,1.46638827,1.41763753,y
Dornhoth_gwend_nagol,62902.1002,0.4847181,0.29178903,i
Dornhoth_gwend_nagol,62902.1002,0.23181349,0.53894524,z
Dornhoth_gwend_nagol,62919.5047,-0.09924535,0.50743719,i
Dornhoth_gwend_nagol,63610.7105,-0.62531794,0.34565798,i
Dornhoth_gwend_nagol,62919.5047,0.99244071,0.53973861,z
Dornhoth_gwend_nagol,62946.8546,0.42497319,0.45763246,u
Dornhoth_gwend_nagol,62946.8546,0.17801246,0.26488206,r
Dornhoth_gwend_nagol,62956.8,0.15422957,0.5325279,i
Dornhoth_gwend_nagol,62956.8,-0.38373426,0.6816806,z
Dornhoth_gwend_nagol,63155.7081,-0.16481487,0.2635475,r
Dornhoth_gwend_nagol,63168.1399,-0.33468952,0.45820087,i
Dornhoth_gwend_nagol,63168.1399,-0.07114476,0.62567337,z
Dornhoth_gwend_nagol,63180.5716,-0.16742912,0.51061732,u
Dornhoth_gwend_nagol,63180.5716,-0.16941993,0.07319178,g
Dornhoth_gwend_nagol,62921.991,0.2708657,0.27355745,r
Dornhoth_gwend_nagol,62889.6685,0.61695834,0.33854993,u
Dornhoth_gwend_nagol,63610.7105,0.51712562,0.88945316,z
Dornhoth_gwend_nagol,63633.0877,-0.29005047,0.25366799,i
Dornhoth_gwend_nagol,63953.8271,-0.2289047,0.10771059,r
