object_id,Time (MJD),Flux,Flux_err,Filter
Dornhoth_archam_grond,62913.1184,0.27492244,2.19501376,z
Dornhoth_archam_grond,63989.7899,,0.42937239,i
Dornhoth_archam_grond,63989.7899,,0.58093002,z
Dornhoth_archam_grond,64106.1336,,1.51754153,y
Dornhoth_archam_grond,64112.0493,,1.27368776,y
Dornhoth_archam_grond,64114.0213,,0.83534319,z
Dornhoth_archam_grond,64117.9651,,0.77847428,z
Dornhoth_archam_grond,64159.3756,,0.24544356,u
Dornhoth_archam_grond,64159.3756,,0.18467122,r
Dornhoth_archam_grond,63970.0707,,0.26388775,i
Dornhoth_archam_grond,64163.3194,,0.17129965,r
Dornhoth_archam_grond,64192.8983,,0.37095239,u
Dornhoth_archam_grond,64192.8983,,0.11886474,g
Dornhoth_archam_grond,64198.8141,,1.05446015,y
Dornhoth_archam_grond,64208.6737,,0.23397605,r
Dornhoth_archam_grond,64214.5895,,0.10792999,g
Dornhoth_archam_grond,64218.5333,,0.17296006,i
Dornhoth_archam_grond,64218.5333,,0.29615798,z
Dornhoth_archam_grond,64242.1964,,0.0784841,g
Dornhoth_archam_grond,64173.179,,0.46249152,z
Dornhoth_archam_grond,64242.1964,,0.10940654,r
Dornhoth_archam_grond,63970.0707,,0.20502168,r
Dornhoth_archam_grond,63958.2391,0.19117369,0.13937228,g
Dornhoth_archam_grond,63887.2498,0.79152775,0.13925648,r
Dornhoth_archam_grond,63887.2498,0.73352391,0.23690012,i
Dornhoth_archam_grond,63893.1656,,0.21429741,i
Dornhoth_archam_grond,63903.0252,0.83306326,0.21995639,i
Dornhoth_archam_grond,63912.8848,0.84996033,0.10054622,r
Dornhoth_archam_grond,63912.8848,0.71966928,0.17763327,i
Dornhoth_archam_grond,63914.8567,,0.09719567,r
Dornhoth_archam_grond,63916.8287,,0.31471526,i
Dornhoth_archam_grond,63962.183,0.57774938,0.47931072,z
Dornhoth_archam_grond,63918.8006,0.04273503,0.23864818,u
Dornhoth_archam_grond,63926.6883,0.7235665,0.10837518,r
Dornhoth_archam_grond,63926.6883,1.05886545,0.15440375,i
Dornhoth_archam_grond,63930.6322,1.33902403,1.03721036,y
Dornhoth_archam_grond,63950.3514,0.87752582,0.20455477,i
Dornhoth_archam_grond,63954.2953,0.46753137,0.1275856,r
Dornhoth_archam_grond,63954.2953,0.91329693,0.1807176,i
Dornhoth_archam_grond,63954.2953,0.56382033,0.28629917,z
Dornhoth_archam_grond,63958.2391,1.09231635,0.41732485,u
Dornhoth_archam_grond,63924.7164,0.75881806,0.18930747,i
Dornhoth_archam_grond,64246.1403,,0.24871073,i
Dornhoth_archam_grond,64254.028,,0.43167641,z
Dornhoth_archam_grond,64254.028,,0.83397769,y
Dornhoth_archam_grond,64549.8169,,0.12848811,r
Dornhoth_archam_grond,64555.7326,,0.51146322,i
Dornhoth_archam_grond,64555.7326,,0.54156075,z
Dornhoth_archam_grond,64567.5642,0.90336305,0.14113004,r
Dornhoth_archam_grond,64571.5081,-0.043003,0.28670365,u
Dornhoth_archam_grond,64575.4519,0.23917552,0.5262231,u
Dornhoth_archam_grond,64577.4238,0.7039768,0.49666514,u
Dornhoth_archam_grond,64577.4238,0.61555051,0.19172254,r
Dornhoth_archam_grond,64541.9292,,0.62776547,i
Dornhoth_archam_grond,64581.3677,0.85307048,0.15950512,r
Dornhoth_archam_grond,64591.2273,0.98322523,0.55760197,z
Dornhoth_archam_grond,64591.2273,-0.01276098,1.55463899,y
Dornhoth_archam_grond,64593.1992,1.453465,0.45165225,i
Dornhoth_archam_grond,64599.115,0.8055745,0.11807352,r
Dornhoth_archam_grond,64599.115,1.36899789,0.18406306,i
Dornhoth_archam_grond,64601.0869,,0.25597964,i
Dornhoth_archam_grond,64622.7781,,0.12027569,r
Dornhoth_archam_grond,64622.7781,,0.17337712,i
Dornhoth_archam_grond,64585.3115,0.65605312,1.99449719,y
Dornhoth_archam_grond,64520.238,,0.21456777,r
Dornhoth_archam_grond,64472.9118,,0.84169472,i
Dornhoth_archam_grond,64344.7366,-0.35045025,1.68767732,y
Dornhoth_archam_grond,64257.9718,1.83328253,0.91878465,y
Dornhoth_archam_grond,64275.7192,,0.39363014,z
Dornhoth_archam_grond,64277.6911,-0.13183647,0.50065821,u
Dornhoth_archam_grond,64277.6911,0.91055161,0.27909306,r
Dornhoth_archam_grond,64279.663,,0.45110325,u
Dornhoth_archam_grond,64293.4665,,0.22286316,i
Dornhoth_archam_grond,64293.4665,,0.28682481,z
Dornhoth_archam_grond,64295.4384,,0.17503984,r
Dornhoth_archam_grond,64295.4384,,0.22618724,i
Dornhoth_archam_grond,64307.27,,0.21504284,i
Dornhoth_archam_grond,64309.2419,,0.24080411,u
Dornhoth_archam_grond,64309.2419,,0.08798941,g
Dornhoth_archam_grond,64313.1858,,0.29910482,z
Dornhoth_archam_grond,64325.0173,,0.2037881,i
Dornhoth_archam_grond,64338.8208,,0.35077576,u
Dornhoth_archam_grond,64338.8208,,0.13431609,g
Dornhoth_archam_grond,64340.7927,,0.30077453,i
Dornhoth_archam_grond,64340.7927,,0.43944127,z
Dornhoth_archam_grond,64344.7366,1.50130753,1.53075514,z
Dornhoth_archam_grond,63883.3059,0.59197431,1.26048566,y
Dornhoth_archam_grond,63883.3059,1.03909739,0.45559159,z
Dornhoth_archam_grond,64214.5895,,0.34537829,u
Dornhoth_archam_grond,63881.334,0.91451352,0.27667374,i
Dornhoth_archam_grond,63171.4407,,0.55887792,z
Dornhoth_archam_grond,63179.3284,,0.09109373,g
Dornhoth_archam_grond,63179.3284,,0.12673441,r
Dornhoth_archam_grond,63181.3003,,0.2798216,u
Dornhoth_archam_grond,63181.3003,,0.07539211,g
Dornhoth_archam_grond,63185.2442,,0.22680688,i
Dornhoth_archam_grond,63193.1319,,0.85303399,y
Dornhoth_archam_grond,63199.0477,,0.3415638,i
Dornhoth_archam_grond,63171.4407,,0.32520856,i
Dornhoth_archam_grond,63199.0477,,0.6172055,z
Dornhoth_archam_grond,63206.9354,,0.29914744,z
Dornhoth_archam_grond,63210.8792,,0.13513695,g
Dornhoth_archam_grond,63210.8792,,0.20494315,r
