object_id,Time (MJD),Flux,Flux_err,Filter
Dornhoth_salab_corch,60990.4356,0.02828463,0.08106684,g
Dornhoth_salab_corch,62806.1818,1.44893476,0.24342697,i
Dornhoth_salab_corch,62806.1818,0.47466878,0.14546014,g
Dornhoth_salab_corch,62806.1818,-0.99776415,0.40295918,u
Dornhoth_salab_corch,62780.0768,0.83910354,0.47842089,i
Dornhoth_salab_corch,62780.0768,1.42288892,0.38694923,r
Dornhoth_salab_corch,62759.7729,2.0844428,1.19302622,y
Dornhoth_salab_corch,62751.0713,3.23336421,0.84517686,y
Dornhoth_salab_corch,62742.3696,0.76419491,0.15293781,r
Dornhoth_salab_corch,62742.3696,0.35862766,0.10045213,g
Dornhoth_salab_corch,62739.4691,1.22191265,0.1328411,r
Dornhoth_salab_corch,62739.4691,0.43597756,0.10515571,g
Dornhoth_salab_corch,62733.668,0.97086228,0.14832725,r
Dornhoth_salab_corch,62719.1652,1.80265118,0.16898233,i
Dornhoth_salab_corch,62713.3641,1.26031768,0.14982991,r
Dornhoth_salab_corch,62707.563,1.35839488,0.19590749,r
Dornhoth_salab_corch,62707.563,0.5616617,0.15529645,g
Dornhoth_salab_corch,62695.9608,2.5124905,0.68566273,z
Dornhoth_salab_corch,62695.9608,2.30591714,0.52027053,i
Dornhoth_salab_corch,62449.4138,0.93192421,0.31253978,i
Dornhoth_salab_corch,62432.0104,0.58385752,1.09063495,y
Dornhoth_salab_corch,62426.2093,-0.96283183,1.2473103,y
Dornhoth_salab_corch,62417.5077,0.38438014,0.23475951,i
Dornhoth_salab_corch,62417.5077,0.14603728,0.13788074,r
Dornhoth_salab_corch,62408.806,0.66903844,0.23368024,i
Dornhoth_salab_corch,62408.806,0.33225463,0.15444165,r
Dornhoth_salab_corch,62397.2038,0.01603925,1.25715891,y
Dornhoth_salab_corch,62397.2038,0.51566302,0.63265944,z
Dornhoth_salab_corch,62382.701,0.56303258,0.22701655,r
Dornhoth_salab_corch,62368.1983,-0.15566786,1.42612626,y
Dornhoth_salab_corch,62817.784,0.88268105,0.38253003,z
Dornhoth_salab_corch,62817.784,0.92160529,1.08236742,y
Dornhoth_salab_corch,62826.4857,-0.11681222,0.40902639,u
Dornhoth_salab_corch,62826.4857,0.751219,0.20258906,r
Dornhoth_salab_corch,63484.9112,0.96869821,0.19765326,i
Dornhoth_salab_corch,63482.0106,0.48938684,0.12550408,r
Dornhoth_salab_corch,63482.0106,-0.03822346,0.22832496,u
Dornhoth_salab_corch,63479.1101,0.86530332,0.17758669,i
Dornhoth_salab_corch,63461.7068,-0.6118836,0.94324881,y
Dornhoth_salab_corch,63455.9057,0.50084638,0.40051062,z
Dornhoth_salab_corch,63455.9057,0.5294513,0.20661875,i
Dornhoth_salab_corch,63450.1045,0.17712423,0.13317687,g
Dornhoth_salab_corch,63450.1045,-0.04270671,0.33772526,u
Dornhoth_salab_corch,63400.7951,0.5290387,0.57454479,r
Dornhoth_salab_corch,63119.4415,2.93631411,0.37504317,z
Dornhoth_salab_corch,63104.9387,1.9055555,0.76826705,z
Dornhoth_salab_corch,63104.9387,1.31085478,0.55119577,i
Dornhoth_salab_corch,63102.0382,1.29764852,0.16891228,r
Dornhoth_salab_corch,62333.3916,-0.12199996,0.20447506,r
Dornhoth_salab_corch,63102.0382,0.5338796,0.26763035,u
Dornhoth_salab_corch,63073.0327,0.22428129,0.28066896,u
Dornhoth_salab_corch,63070.1321,1.95392065,0.23951952,i
Dornhoth_salab_corch,63070.1321,1.14045857,0.12896055,r
Dornhoth_salab_corch,63067.2316,1.545834,0.50703201,z
Dornhoth_salab_corch,63049.8282,1.94756355,0.23640196,i
Dornhoth_salab_corch,63041.1266,1.50456047,0.2326306,i
Dornhoth_salab_corch,63020.8227,2.70032983,1.3697454,y
Dornhoth_salab_corch,63020.8227,3.06598359,0.66937779,z
Dornhoth_salab_corch,62994.7177,3.31160865,1.19030456,z
Dornhoth_salab_corch,62852.5906,1.61652367,1.11658331,y
Dornhoth_salab_corch,62840.9884,-0.35529742,1.83223888,y
Dornhoth_salab_corch,62835.1873,0.6916252,0.19743786,r
Dornhoth_salab_corch,62835.1873,0.30364169,0.44903949,u
Dornhoth_salab_corch,62826.4857,1.39027354,0.30361339,i
Dornhoth_salab_corch,63073.0327,0.45628762,0.11970207,g
Dornhoth_salab_corch,62333.3916,0.17852984,0.1096136,g
Dornhoth_salab_corch,63067.2316,1.42127185,0.24851781,i
Dornhoth_salab_corch,62049.1375,0.28133553,0.39073205,z
Dornhoth_salab_corch,61625.6567,-0.41898786,0.98482071,y
Dornhoth_salab_corch,61614.0545,0.33748313,0.12796812,r
Dornhoth_salab_corch,61596.6512,0.62748358,0.41604759,z
